 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:54           28992               0               0               0               0               0 
CPU:55           33854               0               0               0               0               0 
CPU:56           29133               0               0               0               0               0 
CPU:57           30038               0               0               0               0               0 
CPU:58           27970               0               0               0               0               0 
CPU:59           30646               0               0               0               0               0 
CPU:60           60539               0               0               0               0               0 
CPU:61           29760               0               0               0               0               0 
CPU:62           30403               0               0               0               0               0 
CPU:63           31722               0               0               0               0               0 

Summed:        1936256               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00           31758               0               0               0               0               0 
CPU:01           29674               0               0               0               0               0 
CPU:02           29723               0               0               0               0               0 
CPU:03               0               0               0               0               0               0 
CPU:04           30859               0               0               0               0               0 
CPU:05           29530               0               0               0               0               0 
CPU:06           61460               0               0               0               0               0 
CPU:07           30742               0               0               0               0               0 
CPU:08               1               0               0               0               0               0 
CPU:09           28887               0               0               0               0               0 
CPU:10           29762               0               0               0               0               0 
CPU:11           29211               0               0               0               0               0 
CPU:12           30705               0               0               0               0               0 
CPU:13           29454               0               0               0               0               0 
CPU:14           30099               0               0               0               0               0 
CPU:15           29729               0               0               0               0               0 
CPU:16           60623               0               0               0               0               0 
CPU:17               0               0               0               0               0               0 
CPU:18           32206               0               0               0               0               0 
CPU:19           32717               0               0               0               0               0 
CPU:20           30060               0               0               0               0               0 
CPU:21               0               0               0               0               0               0 
CPU:22               0               0               0               0               0               0 
CPU:23           31382               0               0               0               0               0 
CPU:24           60517               0               0               0               0               0 
CPU:25           32006               0               0               0               0               0 
CPU:26           60372               0               0               0               0               0 
CPU:27           30947               0               0               0               0               0 
CPU:28           30871               0               0               0               0               0 
CPU:29           30181               0               0               0               0               0 
CPU:30           29929               0               0               0               0               0 
CPU:31           28939               0               0               0               0               0 
CPU:32               0               0               0               0               0               0 
CPU:33           31421               0               0               0               0               0 
CPU:34           29562               0               0               0               0               0 
CPU:35           29101               0               0               0               0               0 
