 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:50           61206               0               0               0               0               0 
CPU:51           29022               0               0               0               0               0 
CPU:52           30840               0               0               0               0               0 
CPU:53           29995               0               0               0               0               0 
CPU:54           29731               0               0               0               0               0 
CPU:55           30963               0               0               0               0               0 
CPU:56           29201               0               0               0               0               0 
CPU:57           30693               0               0               0               0               0 
CPU:58           29021               0               0               0               0               0 
CPU:59           31660               0               0               0               0               0 
CPU:60           59130               0               0               0               0               0 
CPU:61           29201               0               0               0               0               0 
CPU:62           31153               0               0               0               0               0 
CPU:63           30658               0               0               0               0               0 

Summed:        1936248               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               7               0               0               0               0               0 
CPU:02           29402               0               0               0               0               0 
CPU:03           29267               0               0               0               0               0 
CPU:04           30875               0               0               0               0               0 
CPU:05           30808               0               0               0               0               0 
CPU:06           61640               0               0               0               0               0 
CPU:07           29452               0               0               0               0               0 
CPU:08           29369               0               0               0               0               0 
CPU:09           29452               0               0               0               0               0 
CPU:10           29228               0               0               0               0               0 
CPU:11           30337               0               0               0               0               0 
CPU:12           31094               0               0               0               0               0 
CPU:13           31699               0               0               0               0               0 
CPU:14           61973               0               0               0               0               0 
CPU:15           30267               0               0               0               0               0 
CPU:16           29061               0               0               0               0               0 
CPU:17           29723               0               0               0               0               0 
CPU:18               0               0               0               0               0               0 
CPU:19           28028               0               0               0               0               0 
CPU:20           30519               0               0               0               0               0 
CPU:21           32344               0               0               0               0               0 
CPU:22           28852               0               0               0               0               0 
CPU:23           29106               0               0               0               0               0 
CPU:24           29461               0               0               0               0               0 
CPU:25           31060               0               0               0               0               0 
CPU:26           29982               0               0               0               0               0 
CPU:27               0               0               0               0               0               0 
CPU:28           29968               0               0               0               0               0 
CPU:29           29142               0               0               0               0               0 
CPU:30           30472               0               0               0               0               0 
CPU:31           29484               0               0               0               0               0 
CPU:32           31117               0               0               0               0               0 
CPU:33           30850               0               0               0               0               0 
CPU:34           29707               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36           29185               0               0               0               0               0 
CPU:37           60583               0               0               0               0               0 
CPU:38           30199               0               0               0               0               0 
CPU:39           29512               0               0               0               0               0 
CPU:40           29039               0               0               0               0               0 
CPU:41           29828               0               0               0               0               0 
CPU:42           30434               0               0               0               0               0 
CPU:43           60761               0               0               0               0               0 
CPU:44               0               0               0               0               0               0 
CPU:45           31652               0               0               0               0               0 
CPU:46           30701               0               0               0               0               0 
CPU:47           30805               0               0               0               0               0 
CPU:48           30163               0               0               0               0               0 
CPU:49           30046               0               0               0               0               0 
CPU:50           61816               0               0               0               0               0 
CPU:51           28300               0               0               0               0               0 
CPU:52           30681               0               0               0               0               0 
CPU:53           29603               0               0               0               0               0 
CPU:54           31607               0               0               0               0               0 
CPU:55           31570               0               0               0               0               0 
CPU:56           30295               0               0               0               0               0 
CPU:57           30938               0               0               0               0               0 
CPU:58           29195               0               0               0               0               0 
CPU:59           31461               0               0               0               0               0 
CPU:60           60643               0               0               0               0               0 
CPU:61           30331               0               0               0               0               0 
CPU:62           30734               0               0               0               0               0 
CPU:63           29978               0               0               0               0               0 

Summed:        1933806               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               8               0               0               0               0               0 
CPU:02           28247               0               0               0               0               0 
CPU:03           30729               0               0               0               0               0 
CPU:04           31293               0               0               0               0               0 
CPU:05           28108               0               0               0               0               0 
CPU:06           62014               0               0               0               0               0 
CPU:07           30338               0               0               0               0               0 
CPU:08           28786               0               0               0               0               0 
CPU:09           28716               0               0               0               0               0 
CPU:10           30899               0               0               0               0               0 
CPU:11           29980               0               0               0               0               0 
CPU:12           31105               0               0               0               0               0 
CPU:13           32220               0               0               0               0               0 
CPU:14           59088               0               0               0               0               0 
CPU:15           30718               0               0               0               0               0 
CPU:16           30110               0               0               0               0               0 
CPU:17           30391               0               0               0               0               0 
CPU:18               0               0               0               0               0               0 
CPU:19           29510               0               0               0               0               0 
CPU:20           31639               0               0               0               0               0 
CPU:21           31956               0               0               0               0               0 
CPU:22           29433               0               0               0               0               0 
CPU:23           27834               0               0               0               0               0 
CPU:24           29954               0               0               0               0               0 
CPU:25           31727               0               0               0               0               0 
CPU:26           29308               0               0               0               0               0 
CPU:27               0               0               0               0               0               0 
CPU:28           29618               0               0               0               0               0 
CPU:29           29392               0               0               0               0               0 
CPU:30           30565               0               0               0               0               0 
CPU:31           29454               0               0               0               0               0 
CPU:32           30684               0               0               0               0               0 
CPU:33           30885               0               0               0               0               0 
CPU:34           29395               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
CPU:36           29893               0               0               0               0               0 
CPU:37           61373               0               0               0               0               0 
CPU:38           30547               0               0               0               0               0 
CPU:39           30901               0               0               0               0               0 
CPU:40           28535               0               0               0               0               0 
CPU:41           29435               0               0               0               0               0 
CPU:42           29590               0               0               0               0               0 
CPU:43           59298               0               0               0               0               0 
CPU:44               0               0               0               0               0               0 
CPU:45           33214               0               0               0               0               0 
CPU:46           29625               0               0               0               0               0 
CPU:47           30831               0               0               0               0               0 
CPU:48           30894               0               0               0               0               0 
CPU:49           29657               0               0               0               0               0 
CPU:50           60776               0               0               0               0               0 
CPU:51           29758               0               0               0               0               0 
CPU:52           30044               0               0               0               0               0 
CPU:53           31221               0               0               0               0               0 
CPU:54           31603               0               0               0               0               0 
CPU:55           31516               0               0               0               0               0 
CPU:56           30615               0               0               0               0               0 
CPU:57           30706               0               0               0               0               0 
CPU:58           29861               0               0               0               0               0 
CPU:59           31061               0               0               0               0               0 
CPU:60           60886               0               0               0               0               0 
CPU:61           30415               0               0               0               0               0 
CPU:62           29613               0               0               0               0               0 
CPU:63           30267               0               0               0               0               0 

Summed:        1936238               0               0               0               0               0 

CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:00               0               0               0               0               0               0 
CPU:01               6               0               0               0               0               0 
CPU:02           29070               0               0               0               0               0 
CPU:03           29300               0               0               0               0               0 
CPU:04           30430               0               0               0               0               0 
CPU:05           28879               0               0               0               0               0 
CPU:06           62885               0               0               0               0               0 
CPU:07           29440               0               0               0               0               0 
CPU:08           28002               0               0               0               0               0 
CPU:09           29122               0               0               0               0               0 
CPU:10           31430               0               0               0               0               0 
CPU:11           30046               0               0               0               0               0 
CPU:12           31299               0               0               0               0               0 
CPU:13           30437               0               0               0               0               0 
CPU:14           56906               0               0               0               0               0 
CPU:15           30725               0               0               0               0               0 
CPU:16           29511               0               0               0               0               0 
CPU:17           31500               0               0               0               0               0 
CPU:18               0               0               0               0               0               0 
CPU:19           28487               0               0               0               0               0 
CPU:20           31253               0               0               0               0               0 
CPU:21           31544               0               0               0               0               0 
CPU:22           29739               0               0               0               0               0 
